	Knee_XYZ	Knee_XYZ	Knee_XYZ
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
1	14.73692	6.17212	20.39266
2	14.20414	6.0332	20.03491
3	14.0699	5.91481	20.02847
4	13.28376	5.93204	19.82747
5	13.0847	5.87008	19.8051
6	12.62104	5.76691	19.38354
7	12.18135	5.48606	19.0961
8	11.94548	5.32174	18.60287
9	11.53864	5.04972	17.79195
10	11.27319	4.82235	17.39388
11	11.11133	4.5389	16.95674
12	11.00381	4.44367	17.05042
13	10.84916	4.34569	16.86046
14	10.7645	4.42313	16.50781
15	10.88752	4.46912	16.67833
16	11.06436	4.50062	16.52683
17	11.06869	4.7257	16.14261
18	11.29914	4.85354	16.30304
19	11.72102	5.03833	16.24059
20	12.08873	5.30521	16.06372
21	12.63344	5.62682	15.8616
22	13.07545	5.91049	15.89754
23	13.72363	6.11767	16.18108
24	14.70774	6.18926	16.641
25	15.81793	6.30402	17.02196
26	16.87458	6.52214	17.47615
27	18.05775	6.38553	18.30669
28	19.42282	6.59182	18.6325
29	21.30244	6.62584	19.47714
30	22.96159	6.62963	20.27682
31	24.82038	6.74454	20.87062
32	26.94492	6.60459	21.42081
33	29.48591	6.49106	22.20257
34	32.37162	6.76598	22.5977
35	35.91736	7.25146	22.408
36	39.96195	8.08973	22.07062
37	43.7714	9.30096	21.30799
38	47.3312	8.82762	22.23485
39	50.67383	9.85894	22.21193
40	54.01326	10.52895	22.5735
41	57.12962	10.62744	23.28734
42	59.87487	10.30267	24.06912
43	62.55526	9.54893	25.62768
44	64.97822	8.43649	26.99251
45	67.00209	7.36119	28.39238
46	68.42492	6.73458	29.09013
47	69.58952	5.89207	30.0005
48	70.56195	5.26725	30.65689
49	70.96166	4.78961	30.54088
50	71.21149	4.17714	30.8456
51	71.25142	3.39077	31.23936
52	70.9258	2.50744	31.7676
53	70.3442	1.40256	32.27474
54	69.30186	0.33688	32.51095
55	68.28993	-1.00654	33.22958
56	66.75565	-2.03566	33.47382
57	65.19467	-3.03143	33.74786
58	63.32187	-4.06293	33.96983
59	61.39302	-4.72389	34.29208
60	59.15638	-5.1069	34.55749
61	56.75634	-5.09719	34.81971
62	54.45759	-4.72558	35.11986
63	51.73386	-4.11238	34.97105
64	49.04386	-3.11168	34.60471
65	45.94859	-2.17998	33.91847
66	43.03355	-1.16321	32.61936
67	39.93983	-0.28539	31.23696
68	36.9114	0.48731	29.76666
69	34.01782	1.02472	28.48613
70	31.18007	1.41007	27.73791
71	28.56881	1.64287	27.18568
72	26.14117	1.64542	27.24124
73	24.02742	1.64484	27.56458
74	22.01879	1.5735	28.50762
75	20.24997	1.41401	28.97977
76	18.86725	1.42577	29.31761
77	17.56965	1.44504	29.60489
78	16.77104	1.49147	29.25768
79	16.40578	1.70838	28.88311
80	16.44302	2.06798	28.34876
81	16.81407	2.45928	27.74402
82	17.47453	2.81171	27.18496
83	18.33359	3.39218	26.34745
84	19.10792	4.28457	25.41372
85	19.5528	5.13095	24.84238
86	19.88118	5.93787	24.06756
87	20.14141	6.52829	23.56901
88	20.96745	6.93262	23.98156
89	22.26745	7.02254	24.62925
90	23.25288	6.83926	25.56036
91	23.67455	6.37066	26.49973
92	23.58103	5.94602	27.40853
93	23.24389	5.49234	27.81732
94	22.88265	5.05993	27.47688
95	22.40677	4.75362	26.23253
96	22.21131	4.76262	26.25341
97	21.75925	5.02693	25.48274
98	21.30056	5.54786	25.35542
99	20.9997	6.04927	24.91374
100	20.62748	6.24605	24.97955
101	20.40888	6.12481	24.87314
102	20.31711	5.72564	25.41248
103	20.1714	5.42302	25.18141
104	19.93896	5.01846	25.67706
105	19.68268	4.86107	25.73497
106	19.35091	4.77523	25.83884
107	18.43615	4.90751	25.31816
108	17.85781	5.13168	25.17805
109	17.45611	5.34089	24.87988
110	16.95654	5.40272	25.09051
111	16.61333	5.39965	24.87446
112	16.13634	5.2056	24.67606
113	15.75966	5.02802	24.4515
114	15.44144	4.72573	24.22387
115	15.01582	4.45106	23.96157
116	14.61523	4.23829	23.95675
117	14.39872	4.12617	24.04919
118	14.16393	3.96001	23.98143
119	14.03765	3.80549	24.05073
120	13.92412	3.65063	23.94237
121	13.92668	3.57995	24.27567
122	13.8032	3.48184	24.19617
123	13.67677	3.47393	24.1709
124	13.72388	3.3779	23.96545
125	13.81136	3.34864	23.8753
126	13.73511	3.31311	23.7359
127	13.80436	3.32211	23.88397
128	13.79915	3.19016	23.69035
129	13.7481	3.27131	23.42551
130	13.77613	3.19518	23.52686
131	13.74147	3.18014	23.42917
132	13.73405	3.19635	23.44551
133	13.72377	3.23214	23.20346
134	13.8542	3.15934	23.42115
135	13.87032	3.22749	23.4763
136	13.94755	3.2596	23.47942
137	14.06636	3.30123	23.91768
138	14.367	3.37304	24.27538
139	14.65162	3.60883	24.27098
140	14.86999	3.67775	24.34996
141	15.20242	3.85046	24.82485
142	15.59204	4.00459	25.13217
143	16.25668	4.00919	25.47471
144	16.49741	4.1979	25.8678
145	17.22519	4.18461	26.2673
146	17.79354	4.30271	26.49681
147	18.77552	4.3216	26.9777
148	19.89915	4.06643	27.58327
149	21.54894	3.93412	28.42887
150	23.04151	3.89475	28.61339
151	24.91176	3.89978	28.99427
152	27.08054	3.82765	29.16345
153	29.96913	4.07758	28.29397
154	33.59373	4.63267	27.97534
155	37.26522	5.73815	26.81255
156	40.99435	6.46044	25.68867
157	44.64512	7.57047	24.83562
158	48.22931	8.50182	24.05369
159	51.72401	9.20729	23.26298
160	54.92357	9.65632	22.511
161	57.57389	8.76671	23.17822
162	60.22511	6.50336	25.46506
163	62.45183	6.87222	25.48271
164	63.93	4.56506	27.50223
165	65.42876	4.37064	28.35985
166	66.61355	3.62798	29.11013
167	67.1823	2.91145	29.94425
168	67.73683	2.16401	30.64908
169	68.11928	1.51195	31.2113
170	68.15467	0.89304	31.83254
171	67.55282	0.18312	32.35571
172	66.94936	-0.63697	33.36502
173	65.8774	-1.47752	34.03415
174	64.8134	-2.13339	33.98396
175	63.16458	-2.97202	34.52691
176	61.3838	-4.05769	35.02755
177	59.62414	-4.13489	34.61872
178	57.8642	-4.30513	34.66731
179	55.63876	-4.35768	34.50448
180	53.38139	-4.1153	34.23333
181	50.77465	-3.49258	33.72696
182	47.89668	-2.88155	33.39404
183	44.93695	-2.16121	32.63369
184	41.8564	-1.46646	31.82826
185	38.58902	-0.84659	30.97116
186	35.50117	-0.30179	30.51197
187	32.28711	0.13533	30.14421
188	29.10913	0.46458	29.82725
189	25.84411	0.7383	29.94002
190	22.93161	0.88513	29.76435
191	19.97843	0.97942	30.07044
192	17.50852	0.80819	30.30985
193	15.39795	0.8333	30.1889
194	13.88272	0.83493	30.47403
195	12.756	0.78152	30.38408
196	12.37967	0.88543	30.16285
197	12.20132	0.97566	30.23905
198	12.54489	1.12953	30.28242
199	13.34163	1.40603	30.10568
200	14.47704	1.63643	29.69315
201	15.79116	2.14515	28.65534
202	17.06714	2.73699	27.755
203	17.84409	3.6609	26.70401
204	18.8937	4.67689	26.5141
205	20.01941	5.23321	27.26775
206	21.54946	5.18388	28.6996
207	22.87399	4.6848	29.17906
208	23.54216	4.20842	29.21244
209	23.54203	3.91705	28.99873
210	23.31034	3.56939	29.45496
211	23.28134	3.38456	29.65913
212	23.2036	3.2325	29.72549
213	23.10578	3.25583	29.40127
214	23.04681	3.46827	29.13463
215	22.73082	3.84646	28.76468
216	22.63933	4.07631	29.18237
217	22.72224	4.17527	29.58974
218	22.74127	4.12104	29.73056
219	22.95948	3.94796	29.74312
220	22.8419	3.70011	30.31056
221	22.7237	3.66526	30.01708
222	22.33249	3.7029	30.03216
223	22.07915	3.85604	30.2069
224	21.46829	4.18607	29.30755
225	20.64342	4.48455	28.3948
226	20.02568	4.75309	27.90131
227	19.48887	5.00105	26.95219
228	19.06983	4.98676	25.95886
229	18.88248	4.87986	26.01828
230	18.56754	4.70164	25.04615
231	18.25767	4.52886	24.99592
232	17.82064	4.34966	24.60656
233	17.34402	4.21273	24.69701
234	16.87836	4.06264	24.60408
235	16.48409	3.92678	24.7436
236	16.09808	3.79847	24.75012
237	15.59767	3.73934	24.67784
238	15.05166	3.64526	24.44962
239	14.62619	3.43303	24.29736
240	14.03128	3.37836	24.14523
241	13.27821	3.30238	23.75313
242	12.76376	3.0798	23.62564
243	12.36168	2.9865	23.60134
244	11.90333	2.90248	23.30172
245	11.45352	2.7612	23.18253
246	11.14818	2.58956	23.09967
247	10.72457	2.53096	23.08563
248	10.58666	2.4496	22.91018
249	10.40632	2.39364	23.07862
250	10.29449	2.29155	22.97015
251	10.29504	2.32993	23.39585
252	10.26124	2.3041	23.50794
253	10.4535	2.34583	23.55897
254	10.82928	2.46465	23.8673
255	11.19029	2.70709	23.81058
256	11.49783	2.95658	23.77954
257	11.8984	3.1128	23.70296
258	12.53713	3.34416	23.5553
259	13.27536	3.42746	23.66982
260	14.06727	3.5123	23.73746
261	14.8699	3.60931	24.00278
262	15.95736	3.84246	24.59007
263	16.83409	3.77825	24.82695
264	18.19447	3.92671	25.24768
265	19.54248	3.99342	25.97621
266	21.22744	3.97398	26.38456
267	22.78148	3.80352	26.76613
268	24.69264	3.62907	27.37713
269	26.81742	3.51551	27.91557
270	28.965	3.44617	28.58017
271	31.45542	3.34842	28.52216
272	34.61038	3.60655	28.22499
273	38.5401	4.08831	27.91693
274	42.68059	4.89798	27.20149
275	46.85317	6.50405	25.1193
276	50.59619	8.71068	23.2459
277	54.24249	9.03448	23.54226
278	57.53908	8.78758	23.9721
279	60.36294	8.21686	24.90247
280	63.00246	7.18454	26.12676
281	64.97512	6.14622	27.39794
282	66.77662	4.97108	29.00684
283	68.03036	4.17393	30.16574
284	69.11219	3.63955	31.10902
285	69.83143	3.43262	31.30973
286	70.69864	2.92896	31.72541
287	70.94803	2.56258	31.97874
288	71.11468	1.99403	32.36454
289	70.72655	1.32683	32.89465
290	69.94834	0.50178	33.66702
291	69.00935	-0.39081	34.08149
292	67.74793	-1.28874	34.38067
293	66.19508	-2.268	34.44547
294	64.41192	-3.01975	34.21848
295	62.40437	-3.82915	34.16104
296	60.41372	-4.32375	34.18603
297	58.42768	-4.73312	34.20749
298	56.089	-4.5362	33.98744
299	53.46213	-4.19623	33.94888
300	50.66602	-3.71325	33.72559
301	47.82936	-2.94609	33.36771
302	44.67807	-2.13039	32.78907
303	41.58878	-1.30723	32.17886
304	38.25471	-0.66249	31.35121
305	35.12054	-0.139	30.39428
306	31.8326	0.34618	29.80881
307	28.78295	0.63551	29.40674
308	25.90858	0.86467	29.09433
309	23.35501	0.93177	29.01075
310	20.86619	0.90032	29.07726
311	18.78271	0.95709	29.18331
312	16.89327	0.98671	28.92342
313	15.37762	1.24301	28.7054
314	14.18924	1.63596	28.11133
315	13.47461	1.92882	27.49299
316	13.30312	2.48996	26.89851
317	13.69009	2.90097	26.52084
318	14.39913	3.48256	26.25838
319	15.46947	3.9054	25.72703
320	16.37834	4.47029	25.48072
321	17.10245	4.98552	25.59745
322	17.80626	5.34468	25.9601
323	18.65951	5.27179	26.37336
324	20.05945	5.10809	26.43782
325	21.31875	4.87939	25.90214
326	21.9785	4.4417	26.18442
327	22.27726	4.49178	26.60788
328	22.21865	4.58287	27.31872
329	21.97505	4.58059	27.51239
330	22.03008	4.5758	27.28153
331	21.8466	4.55378	27.20116
332	21.75007	4.74372	26.63545
333	21.88375	5.04321	26.7617
334	22.05534	5.29591	26.9468
335	22.25559	5.45856	26.96983
336	22.23619	5.45566	26.61694
337	22.39918	5.31816	26.22609
338	22.37979	5.15642	26.45949
339	22.18515	5.11305	26.45408
340	21.99996	5.25173	26.54387
341	21.68206	5.51264	26.0627
342	21.02739	5.78173	25.69031
343	20.5547	6.05972	24.80466
344	19.95339	6.32833	24.0706
345	19.52787	6.55893	23.54167
346	19.26547	6.56586	22.8938
347	19.1279	6.49375	23.07994
348	18.96069	6.36537	22.57411
349	18.65525	6.14863	22.53642
350	18.46199	5.83092	22.53771
351	18.34643	5.53465	22.44032
352	18.05339	5.35301	22.4519
353	17.66745	5.26094	22.25294
354	17.36901	5.16828	22.55219
355	17.00685	4.94077	22.42457
356	16.7133	4.72758	22.2042
357	16.17944	4.52585	22.20387
358	15.68636	4.41492	21.99107
359	15.29337	4.3099	21.62388
360	14.98606	4.20276	21.48664
361	14.66311	4.04492	21.14643
362	14.44671	4.05054	21.28046
363	14.08459	4.01603	20.8368
364	13.96403	3.96609	20.80269
365	13.88304	3.89556	20.63074
366	13.7566	3.70285	20.54458
367	13.57099	3.685	20.48005
368	13.68519	3.65143	20.56424
369	13.55721	3.6468	20.66867
370	13.64751	3.7387	20.7713
371	13.85741	3.81849	21.03513
372	13.77216	3.84829	20.89987
373	13.99074	4.0842	21.0895
374	14.33261	4.1694	21.34931
375	14.79885	4.24204	21.37334
376	14.95712	4.34334	21.6634
377	15.60703	4.24932	22.10527
378	16.13235	4.21193	22.25574
379	16.63093	4.29602	22.59541
380	17.52853	4.33556	23.4089
381	18.70636	4.4384	23.42767
382	20.03925	4.64831	23.73683
383	21.52831	4.61799	24.44079
384	23.46638	4.68229	24.76016
385	25.74798	4.58709	25.49141
386	27.8879	4.75072	25.64866
387	30.4079	4.86933	25.84289
388	33.39908	5.03867	25.94145
389	36.78906	5.6283	25.6975
390	40.83472	6.48398	25.13784
391	44.79757	7.64543	24.86237
392	48.55175	8.24236	24.59754
393	52.17971	8.81002	24.49737
394	55.55442	9.33255	24.8499
395	58.65784	9.31449	25.24697
396	61.48204	8.7115	25.70508
397	64.09668	8.03202	26.83717
398	66.27169	6.82739	28.10693
399	68.17629	5.89527	28.89654
400	69.57377	4.80216	29.67238
401	70.70395	3.89976	30.17147
402	71.58883	2.83854	30.7525
403	72.17155	2.30762	31.27545
404	72.64243	1.39291	32.10892
405	72.6262	0.58604	32.91292
406	72.33459	-0.23791	33.52845
407	71.83297	-1.25358	34.32001
408	70.72388	-2.13291	34.56303
409	69.66845	-2.86407	34.78214
410	68.07419	-3.8863	35.10203
411	66.35214	-4.63844	35.30876
412	64.51449	-5.10626	35.057
413	62.42059	-5.44917	34.99698
414	60.26687	-5.40831	34.91235
415	58.14648	-5.13003	34.60233
416	55.50052	-4.48047	34.0228
417	52.93562	-3.67122	33.65542
418	50.21996	-2.83132	33.36803
419	47.2668	-1.93339	32.86782
420	44.14539	-1.12527	32.13055
421	40.91216	-0.48916	31.31591
422	37.86508	0.11186	30.35748
423	34.78286	0.40385	29.58798
424	31.93388	0.56098	28.96715
425	29.14216	0.73961	28.71323
426	26.53707	0.64482	28.91153
427	24.20829	0.4844	29.1047
428	22.17165	0.41504	29.52688
429	20.51518	0.35998	29.99195
430	19.29774	0.26919	30.15401
431	18.46161	0.37331	30.29231
432	18.09785	0.4317	30.13618
433	18.15192	0.62441	29.94429
434	18.56067	0.8522	30.25026
435	19.27735	1.00375	30.43052
436	20.28963	1.22401	30.52103
437	21.28465	1.54994	30.48499
438	22.28949	2.1924	29.87124
439	22.72231	3.37436	28.80168
440	22.94442	4.26467	27.61491
441	22.79949	4.99683	26.51157
442	22.99863	5.60867	26.13321
443	23.96093	5.97755	26.25545
444	25.39317	5.56296	27.20548
445	26.4221	4.95926	28.15497
446	26.72613	4.40076	29.01636
447	26.39837	3.89345	29.86099
448	26.01226	3.54309	29.90852
449	25.81565	3.16784	30.18069
450	25.5375	3.12297	29.11179
451	25.07352	3.34908	28.70657
452	24.76071	4.05132	28.03319
453	24.1299	4.74258	27.81905
454	23.78562	5.26412	28.01404
455	23.8456	5.51142	27.97343
456	23.71011	5.27419	27.97083
457	23.67977	5.0547	27.78668
458	23.55054	4.83653	27.76734
459	23.37782	4.81433	27.63984
460	23.05826	4.81326	27.52674
461	22.53451	5.17114	26.46214
462	21.80825	5.54968	26.20006
463	21.08207	6.06392	24.97886
464	20.37601	6.48095	24.58001
465	19.66975	6.63468	23.44791
466	19.2401	6.80629	23.34172
467	18.93742	6.71857	22.21631
468	18.38643	6.43689	21.992
469	18.01003	6.17262	21.83146
470	17.67113	5.81832	21.68138
471	17.32764	5.65347	21.7297
472	16.97867	5.4172	21.64798
473	16.70136	5.19995	21.61063
474	16.39122	4.99971	21.78969
475	16.18716	4.78621	21.8059
476	15.83798	4.53456	21.49969
477	15.67742	4.36847	21.56326
478	15.22684	4.20324	21.35506
479	15.05983	4.0274	21.29469
480	14.80455	3.96009	21.13725
481	14.74509	3.98774	21.10888
482	14.34543	4.01565	20.83885
483	14.44186	3.94493	20.89887
484	14.17676	4.00548	20.74434
485	14.02313	3.97614	20.49896
486	14.1852	3.94013	20.63332
487	14.17088	3.9857	20.60963
488	14.20052	3.97749	20.71648
489	14.47461	4.18881	20.90007
490	14.78158	4.20347	21.00213
491	14.9681	4.43734	21.30199
492	15.32947	4.74809	21.40882
493	15.81435	4.81636	21.56571
494	16.08356	4.95382	21.50795
495	16.57731	5.05339	21.70021
496	17.46843	5.16523	22.53366
497	18.23135	5.18599	22.19167
498	19.51639	5.15977	22.67025
499	20.86638	5.0921	23.22335
500	22.26553	5.16651	23.2339
